id	lead1_worker1	full_worker1	lead1_worker2	full_worker2	lead1_worker3	full_worker3	lead1_result	full_result
XIN_ENG_20010609.0211	2	2	2	2	2	2	2	2
AFP_ENG_20060615.0549	3	3	3	3	3	3	3	3
AFP_ENG_20070417.0472	3	3	3	3	3	3	3	3
APW_ENG_20070828.1035	2	2	1	1	2	1	2	1
XIN_ENG_20090218.0036	1	1	1	1	1	1	1	1
AFP_ENG_19951121.0568	2	2	2	2	2	2	2	2
XIN_ENG_20090210.0243	2	2	1	1	2	2	2	2
XIN_ENG_20090225.0081	2	2	2	2	2	2	2	2
AFP_ENG_19960427.0279	1	1	1	1	1	1	1	1
APW_ENG_20070830.0046	1	1	1	1	1	1	1	1
XIN_ENG_20071125.0190	1	1	1	1	1	1	1	1
AFP_ENG_20060615.0411	1	1	1	1	1	1	1	1
APW_ENG_20070828.1141	1	1	1	1	1	1	1	1
XIN_ENG_20090219.0116	2	1	1	1	2	2	2	1
AFP_ENG_19951127.0492	1	1	1	1	1	1	1	1
APW_ENG_19980812.0102	2	2	1	1	2	2	2	2
AFP_ENG_20070131.0188	2	1	1	1	1	1	1	1
APW_ENG_20050619.0098	1	1	1	1	1	1	1	1
APW_ENG_19960821.0117	2	2	2	2	2	2	2	2
XIN_ENG_19980214.0102	2	2	1	1	1	1	1	1
APW_ENG_20030513.0445	1	1	1	1	1	1	1	1
NYT_ENG_20100413.0146	3	3	3	3	3	3	3	3
APW_ENG_20041204.0156	2	2	2	2	2	2	2	2
APW_ENG_20030509.0583	2	1	2	1	2	1	2	1
XIN_ENG_20010622.0105	1	1	1	1	1	1	1	1
AFP_ENG_20081103.0378	1	1	1	1	1	1	1	1
CNA_ENG_20091030.0001	1	1	1	1	1	1	1	1
XIN_ENG_20010611.0007	2	1	1	1	1	1	1	1
AFP_ENG_20060615.0671	1	1	1	1	1	1	1	1
AFP_ENG_20070104.0301	1	1	1	1	1	1	1	1
APW_ENG_19960508.4077	2	2	2	1	2	2	2	2
APW_ENG_19960513.1002	2	2	2	2	2	2	2	2
APW_ENG_19970709.0909	2	2	2	2	2	2	2	2
XIN_ENG_20010611.0051	2	2	2	2	2	2	2	2
AFP_ENG_19970307.0619	1	1	1	1	1	1	1	1
AFP_ENG_20070109.0277	2	2	2	2	2	2	2	2
LTW_ENG_20080522.0055	2	3	2	3	2	3	2	3
AFP_ENG_20081103.0648	2	1	2	2	2	2	2	2
APW_ENG_19970709.0320	2	2	2	2	2	2	2	2
APW_ENG_19960801.0953	2	2	2	1	2	1	2	1
APW_ENG_20090818.1072	1	1	1	1	1	1	1	1
APW_ENG_20030515.0226	1	1	1	1	1	1	1	1
APW_ENG_20041201.0059	2	1	1	1	1	1	1	1
APW_ENG_20090805.0565	1	1	1	1	1	1	1	1
APW_ENG_19970709.0882	2	2	2	2	2	2	2	2
XIN_ENG_20010617.0051	2	2	2	2	2	2	2	2
AFP_ENG_19970306.0360	1	1	1	1	1	1	1	1
AFP_ENG_19960428.0001	1	1	1	1	1	1	1	1
APW_ENG_20070829.0058	2	1	1	1	1	1	1	1
XIN_ENG_20090219.0153	2	3	1	3	2	3	2	3
AFP_ENG_19951128.0031	1	1	1	1	1	1	1	1
NYT_ENG_20100415.0108	2	1	2	1	2	1	2	1
APW_ENG_20041222.0127	1	3	1	3	1	3	1	3
APW_ENG_20030509.0540	2	3	2	3	2	3	2	3
APW_ENG_19980812.0336	1	1	1	1	1	1	1	1
AFP_ENG_20070115.0576	1	1	1	1	1	1	1	1
APW_ENG_20050610.0380	1	1	1	1	1	1	1	1
NYT_ENG_19980911.0121	2	1	1	1	2	1	2	1
NYT_ENG_20100411.0070	2	3	2	3	2	3	2	3
APW_ENG_20030530.0549	2	3	2	3	2	3	2	3
APW_ENG_20090802.0201	1	1	1	1	1	1	1	1
APW_ENG_20070801.0947	2	1	2	1	2	1	2	1
APW_ENG_20030513.0735	2	2	2	2	2	1	2	2
XIN_ENG_20010612.0011	1	1	1	1	1	1	1	1
AFP_ENG_19970306.0402	1	1	1	1	2	1	1	1
AFP_ENG_20070417.0534	2	1	2	1	2	1	2	1
APW_ENG_19970712.0218	1	1	2	1	2	1	2	1
XIN_ENG_20090224.0409	1	1	1	1	1	1	1	1
AFP_ENG_20070417.0550	2	2	2	2	2	2	2	2
APW_ENG_19970712.0751	2	1	1	1	1	1	1	1
XIN_ENG_20010622.0062	3	3	3	3	3	3	3	3
AFP_ENG_20060601.0325	2	1	1	1	1	1	1	1
AFP_ENG_20060626.0607	1	1	1	1	1	1	1	1
AFP_ENG_20070106.0068	1	1	1	1	1	1	1	1
AFP_ENG_19960423.0288	2	1	2	1	2	1	2	1
XIN_ENG_20041130.0002	1	1	1	1	1	1	1	1
AFP_ENG_19970330.0061	2	2	2	2	2	1	2	2
CNA_ENG_20091019.0030	1	1	1	1	1	1	1	1
APW_ENG_20070829.0429	1	1	1	1	1	1	1	1
XIN_ENG_20090219.0183	1	1	1	1	1	1	1	1
AFP_ENG_19951128.0063	1	1	1	1	1	1	1	1
APW_ENG_19980814.0116	2	2	2	2	2	2	2	2
AFP_ENG_20070131.0415	3	3	3	3	3	3	3	3
APW_ENG_20050619.0361	1	1	1	1	1	1	1	1
APW_ENG_19960825.0388	2	2	2	2	2	2	2	2
XIN_ENG_19980206.0066	1	1	1	1	1	1	1	1
APW_ENG_20030529.0723	2	2	2	2	2	2	2	2
NYT_ENG_20100418.0127	1	1	1	1	1	1	1	1
APW_ENG_20090821.0360	1	1	1	1	1	1	1	1
APW_ENG_20050620.1149	2	1	1	1	2	1	2	1
AFP_ENG_19951113.0233	1	1	1	1	1	1	1	1
APW_ENG_19980816.0383	1	1	1	1	1	1	1	1
APW_ENG_19970709.0466	2	1	2	1	2	1	2	1
APW_ENG_19980814.0610	1	1	1	1	1	1	1	1
AFP_ENG_20070131.0456	3	3	3	3	3	3	3	3
APW_ENG_20050622.0049	2	2	2	1	2	1	2	1
XIN_ENG_20010622.0091	2	1	2	1	2	1	2	1
AFP_ENG_20070418.0110	3	3	3	3	3	3	3	3
AFP_ENG_20070418.0449	3	3	3	3	3	3	3	3
APW_ENG_20070829.0679	1	1	2	1	1	1	1	1
XIN_ENG_20090218.0089	1	1	1	1	1	1	1	1
AFP_ENG_20060629.0280	3	3	3	3	3	3	3	3
AFP_ENG_20060627.0164	1	1	1	1	1	1	1	1
AFP_ENG_20070115.0434	1	1	1	1	1	1	1	1
AFP_ENG_19960423.0260	1	1	1	1	1	1	1	1
NYT_ENG_19980909.0506	2	1	2	1	2	1	2	1
XIN_ENG_20041115.0119	1	1	1	1	1	1	1	1
AFP_ENG_20070428.0103	2	2	2	1	2	2	2	2
APW_ENG_20070829.0803	1	1	1	1	1	1	1	1
XIN_ENG_20090218.0151	2	1	2	1	2	1	2	1
AFP_ENG_19951122.0067	1	1	1	1	1	1	1	1
XIN_ENG_20051108.0160	2	1	2	2	1	1	2	1
AFP_ENG_20081127.0261	1	1	1	1	1	1	1	1
APW_ENG_19970709.1154	3	3	3	3	3	3	3	3
XIN_ENG_20010613.0061	2	2	2	2	2	2	2	2
AFP_ENG_19970306.0605	2	2	2	2	2	2	2	2
AFP_ENG_19960423.0327	1	1	1	1	1	1	1	1
AFP_ENG_19951112.0065	1	1	1	1	1	1	1	1
APW_ENG_20070815.1188	1	1	1	1	1	1	1	1
APW_ENG_19970709.1217	2	2	2	2	2	2	2	2
AFP_ENG_20060630.0535	3	3	3	3	3	3	3	3
AFP_ENG_20070418.0167	2	2	2	2	2	2	2	2
AFP_ENG_20070421.0159	3	3	3	3	3	3	3	3
APW_ENG_20070829.1011	2	1	2	1	2	1	2	1
XIN_ENG_20090208.0195	2	2	2	2	2	2	2	2
AFP_ENG_19951122.0121	3	3	3	3	3	3	3	3
NYT_ENG_19980911.0069	2	1	2	1	2	1	2	1
NYT_ENG_20100424.0083	2	1	2	1	2	1	2	1
APW_ENG_20030513.0562	1	1	1	1	1	1	1	1
NYT_ENG_20100421.0104	3	1	3	1	3	1	3	1
APW_ENG_20041223.0005	2	1	2	1	2	1	2	1
APW_ENG_20030530.0581	1	3	1	3	1	3	1	3
AFP_ENG_19951128.0366	1	1	1	1	1	1	1	1
NYT_ENG_20030513.0086	2	1	2	1	2	1	2	1
APW_ENG_20050622.0893	1	1	1	1	1	1	1	1
NYT_ENG_19980923.0137	2	1	2	1	2	1	2	1
NYT_ENG_20100424.0111	3	3	3	3	3	3	3	3
APW_ENG_20030513.0576	2	1	2	1	2	1	2	1
APW_ENG_20030527.0482	2	1	2	1	2	1	2	1
XIN_ENG_20090219.0037	1	1	1	1	1	1	1	1
AFP_ENG_20070419.0578	1	1	1	1	1	1	1	1
XIN_ENG_20010613.0284	1	1	1	1	1	1	1	1
AFP_ENG_20060616.0040	3	3	3	3	3	3	3	3
AFP_ENG_20070418.0518	1	1	1	1	1	1	1	1
NYT_ENG_20100422.0188	3	3	3	3	3	3	3	3
APW_ENG_20090818.1187	2	1	2	1	2	1	2	1
APW_ENG_20050627.0951	1	1	1	1	1	1	1	1
AFP_ENG_20060627.0546	3	3	3	3	3	3	3	3
AFP_ENG_20070118.0734	2	2	2	2	2	2	2	2
AFP_ENG_19960423.0316	3	3	2	3	2	3	2	3
AFP_ENG_20070424.0602	2	1	1	1	1	1	1	1
XIN_ENG_20010623.0127	1	1	1	1	1	1	1	1
AFP_ENG_20070430.0212	2	1	2	1	2	1	2	1
AFP_ENG_20070417.0119	1	1	1	1	1	1	1	1
XIN_ENG_19980215.0078	1	1	1	1	1	1	1	1
APW_ENG_20030530.0610	2	1	1	1	1	1	1	1
XIN_ENG_20010622.0008	1	1	1	1	1	1	1	1
AFP_ENG_19970306.0029	2	1	2	1	2	1	2	1
AFP_ENG_20070426.0424	1	1	1	1	1	1	1	1
NYT_ENG_20050524.0084	3	3	3	3	3	3	3	3
APW_ENG_19960514.0152	2	1	1	1	2	1	2	1
APW_ENG_19970704.0151	2	2	2	2	2	2	2	2
APW_ENG_20090805.1090	2	1	2	1	2	1	2	1
APW_ENG_19980815.0619	2	2	1	1	2	2	2	2
APW_ENG_20030509.0677	2	1	2	1	2	1	2	1
APW_ENG_20070810.0086	1	1	1	1	1	1	1	1
APW_ENG_20070802.0716	1	1	1	1	1	1	1	1
APW_ENG_20030513.0856	2	2	2	2	2	2	2	2
XIN_ENG_20010622.0115	1	1	1	1	1	1	1	1
AFP_ENG_20060616.0099	2	2	2	2	2	2	2	2
AFP_ENG_20070421.0202	3	3	3	3	3	3	3	3
CNA_ENG_20090407.0038	2	1	1	1	1	1	1	1
XIN_ENG_20010613.0271	2	1	2	2	2	1	2	1
AFP_ENG_19951128.0427	2	1	1	1	1	1	1	1
XIN_ENG_20010614.0197	1	1	1	1	1	1	1	1
AFP_ENG_20060616.0112	2	2	2	2	2	2	2	2
AFP_ENG_20070417.0683	3	3	3	3	3	3	3	3
APW_ENG_20090806.0273	2	3	2	3	2	3	2	3
APW_ENG_19980831.0900	2	3	2	3	2	3	2	3
APW_ENG_20050612.0453	1	1	1	1	1	1	1	1
NYT_ENG_20060109.0117	3	3	3	3	3	3	3	3
APW_ENG_20041224.0161	2	1	2	1	2	1	2	1
CNA_ENG_20010306.0010	2	1	2	1	2	1	2	1
APW_ENG_20070830.0147	1	1	2	1	2	2	2	1
XIN_ENG_20090218.0179	2	1	1	1	1	1	1	1
AFP_ENG_20060627.0210	3	3	3	3	3	3	3	3
AFP_ENG_20060628.0145	1	1	1	1	1	1	1	1
AFP_ENG_20070115.0624	1	1	1	1	1	1	1	1
AFP_ENG_19960423.0364	2	1	2	1	1	1	2	1
APW_ENG_19980816.0806	3	3	3	3	2	2	3	3
APW_ENG_20090825.0977	1	1	1	1	1	1	1	1
APW_ENG_20050621.0151	1	3	1	3	1	3	1	3
NYT_ENG_20050524.0256	2	1	2	1	2	1	2	1
APW_ENG_19960521.0641	2	2	2	2	2	2	2	2
LTW_ENG_20060804.0118	3	3	3	3	3	3	3	3
APW_ENG_19960827.0121	2	2	2	2	2	2	2	2
XIN_ENG_19980207.0143	3	3	1	1	1	1	1	1
APW_ENG_20030530.0102	2	1	2	1	2	1	2	1
APW_ENG_20090806.0858	2	1	2	1	2	1	2	1
APW_ENG_19980823.0240	2	1	2	1	2	1	2	1
APW_ENG_20050614.0138	2	1	2	1	2	1	2	1
AFP_ENG_19970302.0331	1	1	1	1	1	1	1	1
AFP_ENG_20070422.0580	2	2	2	2	2	2	2	2
AFP_ENG_19960429.0094	1	1	1	1	1	1	1	1
AFP_ENG_19970302.0376	2	1	1	1	2	1	2	1
AFP_ENG_20070422.0576	3	3	3	3	3	3	3	3
AFP_ENG_19960428.0145	3	1	3	1	3	1	3	1
APW_ENG_19970701.0426	2	1	1	1	1	1	1	1
XIN_ENG_20080404.0192	2	2	2	2	2	2	2	2
AFP_ENG_19951107.0538	1	1	2	1	1	1	1	1
XIN_ENG_20090218.0022	1	1	1	1	1	1	1	1
XIN_ENG_20090228.0106	2	2	2	2	2	2	2	2
AFP_ENG_20070412.0424	1	1	1	1	1	1	1	1
XIN_ENG_20051128.0171	1	1	2	1	1	1	1	1
AFP_ENG_19960408.0367	1	1	1	1	1	1	1	1
LTW_ENG_20060509.0125	1	1	1	1	1	1	1	1
CNA_ENG_20010314.0017	2	1	1	1	1	1	1	1
XIN_ENG_20010618.0133	2	1	1	1	1	1	1	1
AFP_ENG_19970302.0424	2	2	2	2	2	2	2	2
APW_ENG_19960828.0507	1	1	1	1	2	1	1	1
AFP_ENG_19951102.0429	2	3	2	3	2	3	2	3
LTW_ENG_20060516.0038	2	1	2	1	2	1	2	1
NYT_ENG_20060104.0133	2	1	2	2	2	2	2	2
APW_ENG_19960518.0769	2	2	2	2	2	2	2	2
APW_ENG_19970712.0730	2	2	2	2	2	2	2	2
AFP_ENG_20070124.0139	1	1	1	1	1	1	1	1
APW_ENG_19960513.0206	1	1	1	1	1	1	1	1
CNA_ENG_20100717.0003	1	1	1	1	1	1	1	1
APW_ENG_20070830.0258	2	1	2	1	2	1	2	1
XIN_ENG_20071126.0217	1	1	1	1	2	1	1	1
AFP_ENG_20060612.0454	3	3	3	3	3	3	3	3
APW_ENG_19970715.0391	2	2	2	2	2	2	2	2
XIN_ENG_20010622.0252	1	1	1	1	1	1	1	1
AFP_ENG_20060601.0486	3	3	3	3	3	3	3	3
NYT_ENG_19980920.0104	2	1	2	1	2	1	2	1
NYT_ENG_20100414.0027	2	3	2	3	2	3	2	3
APW_ENG_20050620.0804	1	1	1	1	1	1	1	1
APW_ENG_20030508.0773	1	1	1	1	1	1	1	1
APW_ENG_19980812.0381	1	1	1	1	1	1	1	1
LTW_ENG_20060522.0048	2	1	2	1	2	1	2	1
APW_ENG_19960523.0083	2	2	2	2	2	2	2	2
APW_ENG_19960516.0178	1	1	1	1	1	1	1	1
APW_ENG_19970704.0466	2	3	2	3	2	3	2	3
AFP_ENG_19960401.0145	1	3	1	3	1	3	1	3
APW_ENG_20090808.0374	3	3	1	1	1	1	1	1
LTW_ENG_20060522.0047	2	1	2	1	2	1	2	1
CNA_ENG_20100725.0022	2	1	2	1	2	1	2	1
XIN_ENG_20010609.0147	1	1	1	1	1	1	1	1
AFP_ENG_20060619.0214	1	1	1	1	2	1	1	1
AFP_ENG_20081112.0785	1	1	1	1	1	1	1	1
AFP_ENG_20081127.0508	1	1	1	1	1	1	1	1
CNA_ENG_20030808.0007	1	1	1	1	1	1	1	1
NYT_ENG_19980924.0539	2	1	2	1	2	1	2	1
XIN_ENG_19970414.0076	2	1	2	1	2	1	2	1
APW_ENG_20050622.1215	2	1	2	2	2	1	2	1
AFP_ENG_20081106.0573	3	3	3	3	3	3	3	3
AFP_ENG_20081122.0514	2	1	2	1	2	1	2	1
CNA_ENG_20011211.0003	3	3	3	3	3	3	3	3
APW_ENG_19960831.0560	2	2	2	2	2	2	2	2
XIN_ENG_20051116.0089	1	1	1	1	1	1	1	1
APW_ENG_20030510.0136	2	2	2	2	2	2	2	2
XIN_ENG_19980224.0320	2	2	2	2	2	2	2	2
XIN_ENG_19980209.0022	1	1	1	1	1	1	1	1
APW_ENG_20050610.0958	1	1	1	1	1	1	1	1
CNA_ENG_20010305.0010	1	1	1	1	1	1	1	1
XIN_ENG_20010622.0278	1	1	1	1	1	1	1	1
AFP_ENG_20060625.0400	2	2	2	2	2	2	2	2
CNA_ENG_20100728.0046	1	1	1	1	1	1	1	1
XIN_ENG_20071126.0290	2	1	2	1	2	1	2	1
AFP_ENG_20060629.0464	1	1	1	1	1	1	1	1
XIN_ENG_19980204.0078	1	1	1	1	1	1	1	1
AFP_ENG_19960403.0170	1	1	1	1	1	1	1	1
CNA_ENG_20011201.0009	1	1	1	1	1	1	1	1
NYT_ENG_20060107.0169	2	1	2	1	2	1	2	1
APW_ENG_19960522.1052	2	2	2	2	2	2	2	2
LTW_ENG_20060801.0052	3	3	3	3	3	3	3	3
APW_ENG_19960513.0737	1	1	2	2	1	1	1	1
APW_ENG_19960515.0388	2	2	2	2	2	2	2	2
LTW_ENG_20060518.0054	2	1	2	1	2	1	2	1
AFP_ENG_20070402.0604	2	1	1	1	1	1	1	1
APW_ENG_20070822.0380	1	1	2	1	1	1	1	1
LTW_ENG_20060801.0035	2	1	2	1	2	1	2	1
NYT_ENG_20100519.0136	2	1	1	1	2	1	2	1
AFP_ENG_20081101.0122	3	3	3	3	3	3	3	3
APW_ENG_20070825.0114	2	1	2	1	2	1	2	1
NYT_ENG_19980923.0512	3	3	3	3	3	3	3	3
XIN_ENG_19970409.0085	1	1	1	1	2	1	1	1
APW_ENG_20030513.0493	2	1	2	1	1	1	2	1
APW_ENG_19970723.0536	1	1	1	1	1	1	1	1
XIN_ENG_20090210.0111	2	1	1	1	1	1	1	1
AFP_ENG_20060612.0022	3	3	3	3	3	3	3	3
NYT_ENG_19961209.0137	2	2	2	1	2	2	2	2
APW_ENG_20090802.0185	1	3	1	3	1	3	1	3
LTW_ENG_20060519.0185	1	1	1	1	1	1	1	1
APW_ENG_19970716.0176	2	2	2	2	2	2	2	2
XIN_ENG_20010619.0198	1	1	1	1	1	1	1	1
AFP_ENG_20060625.0460	2	2	2	2	2	2	2	2
APW_ENG_19970716.0229	3	3	3	3	3	3	3	3
XIN_ENG_20010618.0228	1	1	1	1	1	1	1	1
AFP_ENG_19970303.0019	1	1	1	1	1	1	1	1
APW_ENG_19980802.0029	1	1	1	1	1	1	1	1
XIN_ENG_20041115.0231	1	1	1	1	1	1	1	1
APW_ENG_20050622.0624	2	1	1	1	1	1	1	1
XIN_ENG_20010620.0125	1	1	1	1	1	1	1	1
AFP_ENG_20070126.0252	1	1	1	1	1	1	1	1
AFP_ENG_20070110.0596	3	3	3	3	3	3	3	3
APW_ENG_20030530.0118	2	1	1	1	2	1	2	1
XIN_ENG_20051129.0150	1	1	1	1	1	1	1	1
APW_ENG_20050624.0327	2	1	1	1	1	1	1	1
AFP_ENG_20070418.0036	2	1	1	1	1	1	1	1
AFP_ENG_19951104.0256	3	3	3	3	3	3	3	3
LTW_ENG_20060803.0085	2	1	2	1	2	1	2	1
NYT_ENG_20060110.0218	3	3	3	3	3	3	3	3
APW_ENG_19960513.1266	2	2	2	2	2	2	2	2
CNA_ENG_20011210.0008	1	1	1	1	1	1	1	1
AFP_ENG_20060604.0479	1	1	1	1	1	1	1	1
NYT_ENG_20030525.0030	2	1	2	1	2	1	2	1
APW_ENG_20050622.1403	1	1	1	1	1	1	1	1
NYT_ENG_20100403.0006	2	1	2	1	2	1	2	1
XIN_ENG_19970416.0164	1	1	1	1	1	1	1	1
APW_ENG_20050614.0466	1	1	1	1	1	1	1	1
CNA_ENG_20090417.0009	1	1	1	1	1	1	1	1
XIN_ENG_20010608.0337	2	2	2	2	2	2	2	2
AFP_ENG_20060623.0449	2	3	1	3	1	3	1	3
NYT_ENG_19961204.0200	2	3	2	3	2	3	2	3
APW_ENG_19960516.0173	2	1	2	1	2	1	2	1
LTW_ENG_20060803.0112	1	1	1	1	1	1	1	1
CNA_ENG_20101202.0021	1	1	2	1	1	1	1	1
XIN_ENG_20010614.0098	1	1	1	1	1	1	1	1
AFP_ENG_19951122.0360	1	3	1	3	1	3	1	3
AFP_ENG_19960404.0568	2	1	2	1	1	1	2	1
